14
Winterwings-DEATHKNIGHT
Dirkon-DEMONHUNTER
Deathhammer-DRUID
Resoka-HUNTER
Chàrizard-MAGE
Xiaoabu-MAGE
Cassezvous-MONK
Dreamlost-PALADIN
Wîllów-PALADIN
Exoskeleton-PRIEST
Padgarios-ROGUE
Paxi-WARLOCK
Blackcuillin-WARRIOR
Totempledge-WARRIOR
11
Bladesworn Disciple
Burning Hound
Chittering Fiend
Dreamlost-Sargeras
Hateful Scamp
Invasive Gazer
Shadowsworn Betrayer
Vengeful Conqueror
Vogrethar the Defiled
Wicked Corruptor
Zephyr Surfer
10/30 13:27:10.986  COMBAT_LOG_VERSION,4,ADVANCED_LOG_ENABLED,0
10/30 13:27:18.429  SPELL_AURA_REMOVED,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,101568,"Dark Succor",0x1,BUFF
10/30 13:27:20.375  SPELL_ENERGIZE,Player-74-0978AECC,"Totempledge-Skullcrusher",0x518,0x0,Player-74-0978AECC,"Totempledge-Skullcrusher",0x518,0x0,204880,"Spirit of the Maelstrom",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,12,3,11,0
10/30 13:27:20.375  SPELL_AURA_APPLIED,Player-74-0978AECC,"Totempledge-Skullcrusher",0x518,0x0,Player-74-0978AECC,"Totempledge-Skullcrusher",0x518,0x0,227723,"Mana Divining Stone",0x1,BUFF
10/30 13:27:20.375  SPELL_AURA_APPLIED,Player-74-0978AECC,"Totempledge-Skullcrusher",0x518,0x0,Player-74-0978AECC,"Totempledge-Skullcrusher",0x518,0x0,2580,"Find Minerals",0x1,BUFF
10/30 13:27:20.375  SPELL_AURA_APPLIED,Creature-0-3878-1669-13688-127103-0000F760A1,"Nether Acolyte",0xa28,0x0,Player-74-0978AECC,"Totempledge-Skullcrusher",0x518,0x0,249747,"Corruption",0x20,DEBUFF
10/30 13:27:20.375  SPELL_AURA_APPLIED,Player-74-0978AECC,"Totempledge-Skullcrusher",0x518,0x0,Player-74-0978AECC,"Totempledge-Skullcrusher",0x518,0x0,186401,"Sign of the Skirmisher",0x1,BUFF
10/30 13:27:20.375  SPELL_AURA_APPLIED,Player-74-0978AECC,"Totempledge-Skullcrusher",0x518,0x0,Player-74-0978AECC,"Totempledge-Skullcrusher",0x518,0x0,2645,"Ghost Wolf",0x8,BUFF
10/30 13:27:20.375  SPELL_AURA_APPLIED,Player-74-0978AECC,"Totempledge-Skullcrusher",0x518,0x0,Player-74-0978AECC,"Totempledge-Skullcrusher",0x518,0x0,198240,"Spirit of the Maelstrom",0x1,BUFF
10/30 13:27:20.375  SPELL_AURA_APPLIED,Player-74-0978AECC,"Totempledge-Skullcrusher",0x518,0x0,Player-74-0978AECC,"Totempledge-Skullcrusher",0x518,0x0,225606,"Well Fed",0x1,BUFF
10/30 13:27:22.282  SPELL_AURA_APPLIED,Player-76-098482C3,"Riskaye-Sargeras",0x518,0x0,Player-76-098482C3,"Riskaye-Sargeras",0x518,0x0,2645,"Ghost Wolf",0x8,BUFF
10/30 13:27:22.282  SPELL_CAST_SUCCESS,Player-76-098482C3,"Riskaye-Sargeras",0x518,0x0,0000000000000000,nil,0x80000000,0x80000000,2645,"Ghost Wolf",0x8,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0
10/30 13:27:22.690  SPELL_PERIODIC_DAMAGE,Creature-0-3878-1669-13688-127103-0000F760A1,"Nether Acolyte",0xa28,0x0,Player-74-0978AECC,"Totempledge-Skullcrusher",0x518,0x0,249747,"Corruption",0x20,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,32081,-1,32,0,0,0,nil,nil,nil
10/30 13:27:25.234  SPELL_AURA_APPLIED,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,253595,"Inexorable Assault",0x1,BUFF
10/30 13:27:25.735  SPELL_PERIODIC_DAMAGE,Creature-0-3878-1669-13688-127103-0000F760A1,"Nether Acolyte",0xa28,0x0,Player-74-0978AECC,"Totempledge-Skullcrusher",0x10518,0x0,249747,"Corruption",0x20,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,32081,-1,32,0,0,0,nil,nil,nil
10/30 13:27:25.938  SPELL_AURA_APPLIED,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,196770,"Remorseless Winter",0x10,BUFF
10/30 13:27:25.938  SPELL_AURA_APPLIED,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,204957,"Frozen Soul",0x1,BUFF
10/30 13:27:25.938  SPELL_AURA_APPLIED_DOSE,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,204957,"Frozen Soul",0x1,BUFF,2
10/30 13:27:25.938  SPELL_CAST_SUCCESS,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,0000000000000000,nil,0x80000000,0x80000000,196771,"Remorseless Winter",0x10,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0
10/30 13:27:25.938  SPELL_AURA_APPLIED,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,242583,"Concordance of the Legionfall",0x1,BUFF
10/30 13:27:25.938  SPELL_CAST_SUCCESS,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,0000000000000000,nil,0x80000000,0x80000000,196770,"Remorseless Winter",0x10,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0
10/30 13:27:25.938  SPELL_ENERGIZE,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,196770,"Remorseless Winter",0x10,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,10,0,6,0
10/30 13:27:25.938  SPELL_CAST_SUCCESS,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,0000000000000000,nil,0x80000000,0x80000000,211793,"Remorseless Winter",0x10,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0
10/30 13:27:25.938  SPELL_DAMAGE,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,Creature-0-3024-1779-3778-125759-0002776077,"Shadowsworn Betrayer",0xa48,0x0,196771,"Remorseless Winter",0x10,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,41255,-1,16,0,0,0,nil,nil,nil
10/30 13:27:26.044  SPELL_DAMAGE,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,Creature-0-3024-1779-3778-125745-0002776077,"Vengeful Conqueror",0xa48,0x0,196771,"Remorseless Winter",0x10,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,41255,-1,16,0,0,0,nil,nil,nil
10/30 13:27:26.044  SPELL_AURA_APPLIED,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,Creature-0-3024-1779-3778-125745-0002776077,"Vengeful Conqueror",0xa48,0x0,211793,"Remorseless Winter",0x10,DEBUFF
10/30 13:27:26.044  SPELL_AURA_APPLIED,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,Creature-0-3024-1779-3778-125759-0002776077,"Shadowsworn Betrayer",0xa48,0x0,211793,"Remorseless Winter",0x10,DEBUFF
10/30 13:27:26.426  SPELL_HEAL,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,143924,"Leech",0x1,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0,2426,2426,0,nil
10/30 13:27:27.038  SPELL_AURA_APPLIED_DOSE,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,204957,"Frozen Soul",0x1,BUFF,3
10/30 13:27:27.038  SPELL_AURA_APPLIED_DOSE,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,204957,"Frozen Soul",0x1,BUFF,4
10/30 13:27:27.038  SPELL_CAST_SUCCESS,Player-76-0801833F,"Padgarios-Sargeras",0x518,0x0,0000000000000000,nil,0x80000000,0x80000000,196771,"Remorseless Winter",0x10,0000000000000000,0000000000000000,0,0,0,0,-1,0,0,0,0.00,0.00,0
